Algorithm,Average Process Size,Standard Deviation Process Size,Average Process Time,Standard Deviation Process Time,Number of Processes,Size of Process Arrival Window,Random Seed,Total Hole Checks,Number of Failed Allocations,Total Wait Time,Average Usage
Best Fit,10,2,10,2,50,20,0,293,41,773.125,77.2444
Worst Fit,10,2,10,2,50,20,0,325,42,810.079,75.1517
Next Fit,10,2,10,2,50,20,0,237,41,799.218,76.3161
First fit,10,2,10,2,50,20,0,261,42,810.079,75.1517
Best Fit,10,2,10,2,50,20,1,302,42,829.561,77.253
Worst Fit,10,2,10,2,50,20,1,337,42,831.75,76.5188
Next Fit,10,2,10,2,50,20,1,253,43,832.163,76.137
First fit,10,2,10,2,50,20,1,219,41,811.231,77.652
Best Fit,10,2,10,2,50,20,2,265,41,892.51,74.7233
Worst Fit,10,2,10,2,50,20,2,314,42,909.033,73.2758
Next Fit,10,2,10,2,50,20,2,220,41,919.916,71.6274
First fit,10,2,10,2,50,20,2,238,41,906.663,74.7233
Best Fit,10,2,10,2,50,20,3,250,42,790.81,76.9008
Worst Fit,10,2,10,2,50,20,3,218,42,787.307,76.6749
Next Fit,10,2,10,2,50,20,3,218,42,790.81,76.9008
First fit,10,2,10,2,50,20,3,175,42,787.307,76.6749
Best Fit,10,2,10,2,50,20,4,264,41,812.889,75.7253
Worst Fit,10,2,10,2,50,20,4,273,41,812.889,75.7253
Next Fit,10,2,10,2,50,20,4,214,41,812.889,75.7253
First fit,10,2,10,2,50,20,4,224,41,812.889,75.7253
Best Fit,10,2,10,2,50,40,0,268,42,311.008,76.6743
Worst Fit,10,2,10,2,50,40,0,241,41,310.049,78.2717
Next Fit,10,2,10,2,50,40,0,222,42,318.87,75.9865
First fit,10,2,10,2,50,40,0,235,42,327.432,75.9865
Best Fit,10,2,10,2,50,40,1,253,41,455.908,73.8551
Worst Fit,10,2,10,2,50,40,1,271,42,453.127,74.7147
Next Fit,10,2,10,2,50,40,1,218,41,456.25,73.8551
First fit,10,2,10,2,50,40,1,226,42,443.316,74.7147
Best Fit,10,2,10,2,50,40,2,242,41,419.837,72.0078
Worst Fit,10,2,10,2,50,40,2,343,41,424.714,73.1071
Next Fit,10,2,10,2,50,40,2,238,40,415.949,73.6099
First fit,10,2,10,2,50,40,2,216,40,412.955,75.1768
Best Fit,10,2,10,2,50,40,3,248,43,399.898,75.0623
Worst Fit,10,2,10,2,50,40,3,246,40,379.325,80.4562
Next Fit,10,2,10,2,50,40,3,196,40,379.325,80.4562
First fit,10,2,10,2,50,40,3,189,41,392.462,75.7314
Best Fit,10,2,10,2,50,40,4,227,41,399.491,75.004
Worst Fit,10,2,10,2,50,40,4,262,40,392.682,77.6354
Next Fit,10,2,10,2,50,40,4,199,41,399.491,75.004
First fit,10,2,10,2,50,40,4,215,42,407.59,74.7174
Best Fit,10,2,10,2,50,60,0,139,10,26.4714,72.4902
Worst Fit,10,2,10,2,50,60,0,166,15,44.7965,72.3331
Next Fit,10,2,10,2,50,60,0,121,13,30.5134,72.5774
First fit,10,2,10,2,50,60,0,114,13,32.3888,72.2871
Best Fit,10,2,10,2,50,60,1,198,24,50.3066,73.8746
Worst Fit,10,2,10,2,50,60,1,261,30,59.7322,72.4342
Next Fit,10,2,10,2,50,60,1,203,36,90.0509,72.5798
First fit,10,2,10,2,50,60,1,204,36,90.0509,72.5798
Best Fit,10,2,10,2,50,60,2,222,23,89.9498,69.7504
Worst Fit,10,2,10,2,50,60,2,258,27,90.903,69.1605
Next Fit,10,2,10,2,50,60,2,178,26,82.636,70.4583
First fit,10,2,10,2,50,60,2,156,23,77.1666,70.6098
Best Fit,10,2,10,2,50,60,3,200,26,115.618,69.2906
Worst Fit,10,2,10,2,50,60,3,203,27,87.0996,71.8599
Next Fit,10,2,10,2,50,60,3,198,28,100.647,70.7502
First fit,10,2,10,2,50,60,3,155,26,102.279,70.0812
Best Fit,10,2,10,2,50,60,4,210,27,88.5972,73.6673
Worst Fit,10,2,10,2,50,60,4,272,32,147.266,72.3845
Next Fit,10,2,10,2,50,60,4,199,29,85.9365,73.4738
First fit,10,2,10,2,50,60,4,207,32,105.935,73.2817
Best Fit,10,2,15,10,50,20,0,340,41,1334.41,68.1664
Worst Fit,10,2,15,10,50,20,0,347,41,1334.41,68.1664
Next Fit,10,2,15,10,50,20,0,299,41,1334.41,68.1664
First fit,10,2,15,10,50,20,0,267,41,1334.41,68.1664
Best Fit,10,2,15,10,50,20,1,207,40,1445.89,74.0581
Worst Fit,10,2,15,10,50,20,1,273,42,1477.74,72.0472
Next Fit,10,2,15,10,50,20,1,237,41,1546.64,70.8135
First fit,10,2,15,10,50,20,1,184,40,1445.89,74.0581
Best Fit,10,2,15,10,50,20,2,290,40,1470.05,70.9719
Worst Fit,10,2,15,10,50,20,2,311,40,1487.97,70.7595
Next Fit,10,2,15,10,50,20,2,249,40,1496.63,70.7595
First fit,10,2,15,10,50,20,2,239,41,1421.88,71.1853
Best Fit,10,2,15,10,50,20,3,238,41,1416.89,74.3667
Worst Fit,10,2,15,10,50,20,3,281,40,1427.42,77.3511
Next Fit,10,2,15,10,50,20,3,240,40,1427.42,77.3511
First fit,10,2,15,10,50,20,3,209,39,1427.89,77.3511
Best Fit,10,2,15,10,50,20,4,277,40,1486.33,72.0277
Worst Fit,10,2,15,10,50,20,4,273,40,1443.72,72.0277
Next Fit,10,2,15,10,50,20,4,217,40,1443.72,72.0277
First fit,10,2,15,10,50,20,4,219,40,1443.72,72.0277
Best Fit,10,2,15,10,50,40,0,236,40,946.919,66.2374
Worst Fit,10,2,15,10,50,40,0,257,40,946.919,66.2374
Next Fit,10,2,15,10,50,40,0,217,40,941.579,67.294
First fit,10,2,15,10,50,40,0,198,40,946.919,66.2374
Best Fit,10,2,15,10,50,40,1,320,40,1215.15,70.5893
Worst Fit,10,2,15,10,50,40,1,333,41,1207.55,70.8606
Next Fit,10,2,15,10,50,40,1,258,41,1204.01,70.8606
First fit,10,2,15,10,50,40,1,271,40,1215.15,70.5893
Best Fit,10,2,15,10,50,40,2,288,40,1076.56,70.5467
Worst Fit,10,2,15,10,50,40,2,299,39,1041.19,73.1464
Next Fit,10,2,15,10,50,40,2,235,39,1041.19,73.1464
First fit,10,2,15,10,50,40,2,219,40,1005.55,75.1677
Best Fit,10,2,15,10,50,40,3,246,41,1002.96,72.6553
Worst Fit,10,2,15,10,50,40,3,269,40,991.356,73.1424
Next Fit,10,2,15,10,50,40,3,241,41,988.524,72.6553
First fit,10,2,15,10,50,40,3,213,39,1057.18,76.5262
Best Fit,10,2,15,10,50,40,4,273,39,1111.91,71.2334
Worst Fit,10,2,15,10,50,40,4,322,39,1133.38,74.3191
Next Fit,10,2,15,10,50,40,4,267,39,1133.98,71.117
First fit,10,2,15,10,50,40,4,244,39,1133.38,74.3191
Best Fit,10,2,15,10,50,60,0,310,40,577.019,65.4035
Worst Fit,10,2,15,10,50,60,0,272,39,500.473,67.4685
Next Fit,10,2,15,10,50,60,0,272,40,577.019,65.4035
First fit,10,2,15,10,50,60,0,212,39,500.473,67.4685
Best Fit,10,2,15,10,50,60,1,312,41,830.098,69.2199
Worst Fit,10,2,15,10,50,60,1,329,41,830.098,69.2199
Next Fit,10,2,15,10,50,60,1,285,41,830.098,69.2199
First fit,10,2,15,10,50,60,1,256,41,830.098,69.2199
Best Fit,10,2,15,10,50,60,2,274,39,711.204,69.3739
Worst Fit,10,2,15,10,50,60,2,292,39,711.204,69.3739
Next Fit,10,2,15,10,50,60,2,234,39,711.204,69.3739
First fit,10,2,15,10,50,60,2,227,39,711.204,69.3739
Best Fit,10,2,15,10,50,60,3,291,39,675.273,73.428
Worst Fit,10,2,15,10,50,60,3,291,41,699.837,69.6281
Next Fit,10,2,15,10,50,60,3,252,39,675.273,73.428
First fit,10,2,15,10,50,60,3,245,39,681.408,70.7972
Best Fit,10,2,15,10,50,60,4,307,39,735.43,69.97
Worst Fit,10,2,15,10,50,60,4,366,39,739.979,73.5998
Next Fit,10,2,15,10,50,60,4,264,39,727.407,70.4388
First fit,10,2,15,10,50,60,4,246,38,729.618,73.689
Best Fit,15,2,10,2,50,20,0,210,45,1645.67,76.5597
Worst Fit,15,2,10,2,50,20,0,212,45,1642.97,75.5563
Next Fit,15,2,10,2,50,20,0,182,45,1645.67,76.5597
First fit,15,2,10,2,50,20,0,180,45,1645.67,76.5597
Best Fit,15,2,10,2,50,20,1,189,45,1561.8,78.8482
Worst Fit,15,2,10,2,50,20,1,225,44,1615.29,79.7075
Next Fit,15,2,10,2,50,20,1,165,45,1560.21,78.8482
First fit,15,2,10,2,50,20,1,154,45,1560.21,78.8482
Best Fit,15,2,10,2,50,20,2,219,44,1553.97,80.4399
Worst Fit,15,2,10,2,50,20,2,228,44,1553.97,80.4399
Next Fit,15,2,10,2,50,20,2,201,44,1553.97,80.4399
First fit,15,2,10,2,50,20,2,177,44,1553.97,80.4399
Best Fit,15,2,10,2,50,20,3,219,44,1615.34,76.6277
Worst Fit,15,2,10,2,50,20,3,225,44,1615.34,76.6277
Next Fit,15,2,10,2,50,20,3,190,44,1615.34,76.6277
First fit,15,2,10,2,50,20,3,187,44,1615.34,76.6277
Best Fit,15,2,10,2,50,20,4,234,45,1751.61,73.6501
Worst Fit,15,2,10,2,50,20,4,216,43,1674.72,79.0344
Next Fit,15,2,10,2,50,20,4,192,43,1674.72,79.0344
First fit,15,2,10,2,50,20,4,176,43,1650.95,79.3403
Best Fit,15,2,10,2,50,40,0,246,45,1188.51,76.5526
Worst Fit,15,2,10,2,50,40,0,255,45,1188.51,76.5526
Next Fit,15,2,10,2,50,40,0,215,45,1188.51,76.5526
First fit,15,2,10,2,50,40,0,205,45,1188.51,76.5526
Best Fit,15,2,10,2,50,40,1,196,44,1243.38,77.9922
Worst Fit,15,2,10,2,50,40,1,228,45,1208.59,79.9421
Next Fit,15,2,10,2,50,40,1,186,45,1238,75.1155
First fit,15,2,10,2,50,40,1,169,44,1243.38,77.9922
Best Fit,15,2,10,2,50,40,2,213,45,1139.16,77.2541
Worst Fit,15,2,10,2,50,40,2,215,44,1159.99,78.0141
Next Fit,15,2,10,2,50,40,2,182,45,1184.31,74.7215
First fit,15,2,10,2,50,40,2,186,45,1170.56,77.0347
Best Fit,15,2,10,2,50,40,3,233,45,1177.61,75.7048
Worst Fit,15,2,10,2,50,40,3,239,45,1177.61,75.7048
Next Fit,15,2,10,2,50,40,3,203,47,1169.4,74.7509
First fit,15,2,10,2,50,40,3,194,45,1177.61,75.7048
Best Fit,15,2,10,2,50,40,4,242,45,1278.45,74.7486
Worst Fit,15,2,10,2,50,40,4,247,45,1366.51,73.5715
Next Fit,15,2,10,2,50,40,4,210,45,1366.51,73.5715
First fit,15,2,10,2,50,40,4,200,45,1278.45,74.7486
Best Fit,15,2,10,2,50,60,0,235,44,729.558,77.3397
Worst Fit,15,2,10,2,50,60,0,243,44,729.558,77.3397
Next Fit,15,2,10,2,50,60,0,197,44,729.558,77.3397
First fit,15,2,10,2,50,60,0,198,44,729.558,77.3397
Best Fit,15,2,10,2,50,60,1,193,43,765.218,80.0021
Worst Fit,15,2,10,2,50,60,1,202,44,776.132,78.8935
Next Fit,15,2,10,2,50,60,1,174,44,776.132,78.8935
First fit,15,2,10,2,50,60,1,157,43,765.218,80.0021
Best Fit,15,2,10,2,50,60,2,243,45,793.551,73.9432
Worst Fit,15,2,10,2,50,60,2,248,45,793.551,73.9432
Next Fit,15,2,10,2,50,60,2,215,45,793.551,73.9432
First fit,15,2,10,2,50,60,2,197,45,793.551,73.9432
Best Fit,15,2,10,2,50,60,3,202,43,632.906,79.1447
Worst Fit,15,2,10,2,50,60,3,245,45,744.826,74.2162
Next Fit,15,2,10,2,50,60,3,177,43,632.906,79.1447
First fit,15,2,10,2,50,60,3,175,43,632.906,79.1447
Best Fit,15,2,10,2,50,60,4,224,45,875.793,74.1108
Worst Fit,15,2,10,2,50,60,4,247,45,963.498,73.0087
Next Fit,15,2,10,2,50,60,4,210,45,963.498,73.0087
First fit,15,2,10,2,50,60,4,188,45,875.793,74.1108
Best Fit,15,2,15,10,50,20,0,228,43,2647.04,72.1451
Worst Fit,15,2,15,10,50,20,0,246,44,2651.23,71.3262
Next Fit,15,2,15,10,50,20,0,214,43,2647.04,72.1451
First fit,15,2,15,10,50,20,0,188,43,2647.04,72.1451
Best Fit,15,2,15,10,50,20,1,232,44,2983.61,75.3438
Worst Fit,15,2,15,10,50,20,1,264,43,2964.5,75.2009
Next Fit,15,2,15,10,50,20,1,216,43,3011.55,75.195
First fit,15,2,15,10,50,20,1,198,44,2983.61,75.3438
Best Fit,15,2,15,10,50,20,2,212,44,2629.31,76.3882
Worst Fit,15,2,15,10,50,20,2,252,45,2654.44,72.9588
Next Fit,15,2,15,10,50,20,2,189,44,2629.31,76.3882
First fit,15,2,15,10,50,20,2,193,45,2654.44,72.9588
Best Fit,15,2,15,10,50,20,3,235,44,2517.09,80.8201
Worst Fit,15,2,15,10,50,20,3,239,44,2517.09,80.8201
Next Fit,15,2,15,10,50,20,3,211,44,2517.09,80.8201
First fit,15,2,15,10,50,20,3,189,44,2517.09,80.8201
Best Fit,15,2,15,10,50,20,4,225,44,2838.86,72.8269
Worst Fit,15,2,15,10,50,20,4,240,44,2966.23,70.314
Next Fit,15,2,15,10,50,20,4,201,44,2966.23,70.314
First fit,15,2,15,10,50,20,4,192,44,2966.23,70.314
Best Fit,15,2,15,10,50,40,0,241,44,2283.15,70.5755
Worst Fit,15,2,15,10,50,40,0,254,44,2283.15,70.5755
Next Fit,15,2,15,10,50,40,0,217,44,2283.15,70.5755
First fit,15,2,15,10,50,40,0,199,44,2283.15,70.5755
Best Fit,15,2,15,10,50,40,1,235,44,2620.49,74.4428
Worst Fit,15,2,15,10,50,40,1,248,43,2618.79,74.3037
Next Fit,15,2,15,10,50,40,1,209,43,2583.55,74.5778
First fit,15,2,15,10,50,40,1,201,44,2620.49,74.4428
Best Fit,15,2,15,10,50,40,2,259,45,2298.75,71.8948
Worst Fit,15,2,15,10,50,40,2,253,45,2285.16,71.8638
Next Fit,15,2,15,10,50,40,2,219,45,2285.16,71.8638
First fit,15,2,15,10,50,40,2,211,45,2298.75,71.8948
Best Fit,15,2,15,10,50,40,3,241,44,2121.05,79.857
Worst Fit,15,2,15,10,50,40,3,245,44,2121.05,79.857
Next Fit,15,2,15,10,50,40,3,216,44,2121.05,79.857
First fit,15,2,15,10,50,40,3,195,44,2121.05,79.857
Best Fit,15,2,15,10,50,40,4,216,43,2435.81,74.9129
Worst Fit,15,2,15,10,50,40,4,229,44,2592.47,69.9835
Next Fit,15,2,15,10,50,40,4,199,44,2592.47,69.9835
First fit,15,2,15,10,50,40,4,183,44,2592.47,69.9835
Best Fit,15,2,15,10,50,60,0,241,44,1864.92,70.4294
Worst Fit,15,2,15,10,50,60,0,254,44,1864.92,70.4294
Next Fit,15,2,15,10,50,60,0,217,44,1864.92,70.4294
First fit,15,2,15,10,50,60,0,199,44,1864.92,70.4294
Best Fit,15,2,15,10,50,60,1,210,43,2205.23,73.4537
Worst Fit,15,2,15,10,50,60,1,240,43,2229.48,73.6996
Next Fit,15,2,15,10,50,60,1,213,44,2412.63,70.2919
First fit,15,2,15,10,50,60,1,180,43,2205.23,73.4537
Best Fit,15,2,15,10,50,60,2,247,44,1883.47,71.0995
Worst Fit,15,2,15,10,50,60,2,253,45,1859.63,71.5563
Next Fit,15,2,15,10,50,60,2,219,45,1859.63,71.5563
First fit,15,2,15,10,50,60,2,205,44,1883.47,71.0995
Best Fit,15,2,15,10,50,60,3,248,45,1673.23,79.295
Worst Fit,15,2,15,10,50,60,3,254,45,1673.23,79.295
Next Fit,15,2,15,10,50,60,3,224,45,1673.23,79.295
First fit,15,2,15,10,50,60,3,199,45,1673.23,79.295
Best Fit,15,2,15,10,50,60,4,189,43,2030.63,73.3286
Worst Fit,15,2,15,10,50,60,4,224,44,2227.87,68.8216
Next Fit,15,2,15,10,50,60,4,178,42,2204.51,73.3271
First fit,15,2,15,10,50,60,4,183,44,2227.87,68.8216
Best Fit,15,10,10,2,50,20,0,193,44,1644.6,73.8035
Worst Fit,15,10,10,2,50,20,0,211,45,1663.86,72.7777
Next Fit,15,10,10,2,50,20,0,170,45,1648,72.7776
First fit,15,10,10,2,50,20,0,172,45,1663.82,72.7777
Best Fit,15,10,10,2,50,20,1,179,45,1510.08,77.9129
Worst Fit,15,10,10,2,50,20,1,209,45,1576.35,75.0249
Next Fit,15,10,10,2,50,20,1,162,45,1491.45,79.9916
First fit,15,10,10,2,50,20,1,160,45,1510.08,77.9129
Best Fit,15,10,10,2,50,20,2,185,46,1813.92,74.2246
Worst Fit,15,10,10,2,50,20,2,216,46,1943.12,70.2863
Next Fit,15,10,10,2,50,20,2,165,46,1813.92,74.2246
First fit,15,10,10,2,50,20,2,191,44,1873.04,74.1052
Best Fit,15,10,10,2,50,20,3,205,43,1630.51,79.5621
Worst Fit,15,10,10,2,50,20,3,230,46,1684.43,74.8979
Next Fit,15,10,10,2,50,20,3,192,46,1694.88,74.8979
First fit,15,10,10,2,50,20,3,168,43,1630.51,79.5621
Best Fit,15,10,10,2,50,20,4,221,43,1728.75,75.6485
Worst Fit,15,10,10,2,50,20,4,217,42,1879.45,74.156
Next Fit,15,10,10,2,50,20,4,162,42,1828.92,74.9707
First fit,15,10,10,2,50,20,4,185,45,1711.58,76.6344
Best Fit,15,10,10,2,50,40,0,191,44,1108.77,79.5772
Worst Fit,15,10,10,2,50,40,0,183,45,1077.65,78.2202
Next Fit,15,10,10,2,50,40,0,156,44,1074.9,78.2202
First fit,15,10,10,2,50,40,0,161,45,1141.48,76.6932
Best Fit,15,10,10,2,50,40,1,180,45,1114.58,78.7014
Worst Fit,15,10,10,2,50,40,1,212,44,1144.62,78.2146
Next Fit,15,10,10,2,50,40,1,180,46,1109.39,75.6296
First fit,15,10,10,2,50,40,1,161,45,1133.46,75.29
Best Fit,15,10,10,2,50,40,2,244,45,1330,75.3102
Worst Fit,15,10,10,2,50,40,2,229,44,1318.86,76.0492
Next Fit,15,10,10,2,50,40,2,210,45,1330,75.3102
First fit,15,10,10,2,50,40,2,187,44,1311.2,76.1032
Best Fit,15,10,10,2,50,40,3,208,43,1197.04,78.686
Worst Fit,15,10,10,2,50,40,3,231,46,1249.4,74.304
Next Fit,15,10,10,2,50,40,3,192,46,1258.46,74.304
First fit,15,10,10,2,50,40,3,171,43,1197.04,78.686
Best Fit,15,10,10,2,50,40,4,193,42,1373.92,75.721
Worst Fit,15,10,10,2,50,40,4,204,42,1372.68,75.721
Next Fit,15,10,10,2,50,40,4,169,42,1373.92,75.721
First fit,15,10,10,2,50,40,4,166,42,1373.92,75.721
Best Fit,15,10,10,2,50,60,0,187,44,668.884,79.2849
Worst Fit,15,10,10,2,50,60,0,206,44,699.993,77.5395
Next Fit,15,10,10,2,50,60,0,171,45,675.737,78.175
First fit,15,10,10,2,50,60,0,161,45,701.599,76.4262
Best Fit,15,10,10,2,50,60,1,217,44,694.602,76.805
Worst Fit,15,10,10,2,50,60,1,238,44,860.411,70.1764
Next Fit,15,10,10,2,50,60,1,173,44,688.83,74.6538
First fit,15,10,10,2,50,60,1,183,45,725.454,73.0278
Best Fit,15,10,10,2,50,60,2,198,43,839.921,75.8259
Worst Fit,15,10,10,2,50,60,2,189,44,755.649,77.7757
Next Fit,15,10,10,2,50,60,2,161,44,755.649,77.7757
First fit,15,10,10,2,50,60,2,185,42,862.944,76.9142
Best Fit,15,10,10,2,50,60,3,208,42,756.941,77.9326
Worst Fit,15,10,10,2,50,60,3,231,45,804.786,73.8157
Next Fit,15,10,10,2,50,60,3,192,45,813.089,73.8157
First fit,15,10,10,2,50,60,3,171,42,756.941,77.9326
Best Fit,15,10,10,2,50,60,4,193,42,972.674,75.1227
Worst Fit,15,10,10,2,50,60,4,204,42,970.806,75.1227
Next Fit,15,10,10,2,50,60,4,169,42,972.674,75.1227
First fit,15,10,10,2,50,60,4,166,42,972.674,75.1227
Best Fit,15,10,15,10,50,20,0,202,43,2828.93,66.7832
Worst Fit,15,10,15,10,50,20,0,218,43,2532.74,72.1406
Next Fit,15,10,15,10,50,20,0,178,43,2828.93,66.7832
First fit,15,10,15,10,50,20,0,174,43,2813.57,66.7832
Best Fit,15,10,15,10,50,20,1,214,44,3024.52,69.8334
Worst Fit,15,10,15,10,50,20,1,214,45,3133.66,67.0344
Next Fit,15,10,15,10,50,20,1,181,44,2848.42,75.8102
First fit,15,10,15,10,50,20,1,181,44,3054.15,68.8771
Best Fit,15,10,15,10,50,20,2,226,43,3219.24,72.8813
Worst Fit,15,10,15,10,50,20,2,238,42,3231.5,72.8813
Next Fit,15,10,15,10,50,20,2,205,42,3231.5,72.8813
First fit,15,10,15,10,50,20,2,181,42,3231.5,72.8813
Best Fit,15,10,15,10,50,20,3,199,44,2846.25,74.6434
Worst Fit,15,10,15,10,50,20,3,209,42,2660.76,80.7881
Next Fit,15,10,15,10,50,20,3,176,44,2846.25,74.6434
First fit,15,10,15,10,50,20,3,181,44,2696.94,79.0178
Best Fit,15,10,15,10,50,20,4,223,44,3191.38,69.069
Worst Fit,15,10,15,10,50,20,4,222,42,3226.25,69.1028
Next Fit,15,10,15,10,50,20,4,227,46,3192.96,67.9231
First fit,15,10,15,10,50,20,4,171,42,3226.25,69.1028
Best Fit,15,10,15,10,50,40,0,198,43,2404.81,68.2015
Worst Fit,15,10,15,10,50,40,0,198,44,2356.77,67.3723
Next Fit,15,10,15,10,50,40,0,174,43,2395.1,68.2015
First fit,15,10,15,10,50,40,0,162,43,2360.63,70.1321
Best Fit,15,10,15,10,50,40,1,207,45,2684.74,69.1691
Worst Fit,15,10,15,10,50,40,1,207,45,2672.08,68.6982
Next Fit,15,10,15,10,50,40,1,165,44,2649.84,66.6686
First fit,15,10,15,10,50,40,1,171,44,2491.53,75.0933
Best Fit,15,10,15,10,50,40,2,227,44,2683.84,70.1768
Worst Fit,15,10,15,10,50,40,2,230,43,2685.78,71.1682
Next Fit,15,10,15,10,50,40,2,179,42,2691.27,71.1682
First fit,15,10,15,10,50,40,2,183,44,2683.84,70.1768
Best Fit,15,10,15,10,50,40,3,197,44,2461.47,73.7775
Worst Fit,15,10,15,10,50,40,3,216,42,2278.61,79.7519
Next Fit,15,10,15,10,50,40,3,175,44,2461.47,73.7775
First fit,15,10,15,10,50,40,3,186,45,2586.9,67.2973
Best Fit,15,10,15,10,50,40,4,223,44,2795.59,68.7622
Worst Fit,15,10,15,10,50,40,4,222,42,2830.45,68.7956
Next Fit,15,10,15,10,50,40,4,227,46,2797.17,67.6279
First fit,15,10,15,10,50,40,4,171,42,2830.45,68.7956
Best Fit,15,10,15,10,50,60,0,198,43,1983.21,68.0868
Worst Fit,15,10,15,10,50,60,0,198,44,1941.93,67.1514
Next Fit,15,10,15,10,50,60,0,174,43,1973.47,68.0868
First fit,15,10,15,10,50,60,0,162,43,1939.03,70.0084
Best Fit,15,10,15,10,50,60,1,209,45,2317.93,68.4609
Worst Fit,15,10,15,10,50,60,1,213,45,2318.91,67.8248
Next Fit,15,10,15,10,50,60,1,159,44,2245.79,66.6774
First fit,15,10,15,10,50,60,1,177,45,2297.7,68.2118
Best Fit,15,10,15,10,50,60,2,226,44,2238.62,70.0769
Worst Fit,15,10,15,10,50,60,2,230,43,2243.79,71.0611
Next Fit,15,10,15,10,50,60,2,179,42,2247.78,71.0611
First fit,15,10,15,10,50,60,2,182,44,2238.62,70.0769
Best Fit,15,10,15,10,50,60,3,203,44,2100.18,72.2009
Worst Fit,15,10,15,10,50,60,3,225,44,2034.64,74.1271
Next Fit,15,10,15,10,50,60,3,204,43,1928.5,76.9565
First fit,15,10,15,10,50,60,3,173,45,2047.71,70.2072
Best Fit,15,10,15,10,50,60,4,222,44,2399.66,68.4588
Worst Fit,15,10,15,10,50,60,4,221,42,2434.53,68.4919
Next Fit,15,10,15,10,50,60,4,226,46,2401.24,67.336
First fit,15,10,15,10,50,60,4,170,42,2434.53,68.4919
